5,160,0
6,160,0
7,160,0
8,160,0
9,160,0
10,160,0
11,160,0
12,160,0
13,160,0
14,160,0
15,160,0
11,161,1
11,161,1
12,162,1
12,162,1
13,163,1
13,163,1
14,164,1
14,164,1
15,165,1
15,165,1
11,166,2
11,166,2
12,167,2
12,167,2
13,168,2
13,168,2
14,169,2
14,169,2
15,170,2
15,170,2
11,172,3
11,172,3
12,174,3
12,174,3
13,176,3
13,176,3
14,178,3
14,178,3
15,180,3
15,180,3
11,184,3
12,188,3
13,192,3
6,192,0
5,192,0
14,192,0
15,192,0
11,192,0
12,192,0
13,192,0
14,193,1
14,193,1
15,194,1
15,194,1
11,195,1
11,195,1
12,196,1
12,196,1
13,197,1
13,197,1
14,198,2
14,198,2
15,199,2
15,199,2
11,200,2
11,200,2
12,201,2
12,201,2
13,202,2
13,202,2
14,204,3
14,204,3
15,206,3
15,206,3
11,208,3
11,208,3
12,210,3
12,210,3
13,212,3
13,212,3
14,216,3
15,220,3
11,224,3
12,228,3
13,232,3
14,233,3
15,234,3
11,235,3
12,236,3
13,237,3
14,238,3
15,239,3
11,240,3
12,240,0
13,240,0
14,240,0
15,240,0
11,240,0
12,241,1
12,241,1
13,242,1
13,242,1
14,243,1
14,243,1
15,244,1
15,244,1
11,245,1
11,245,1
12,246,2
12,246,2
13,247,2
13,247,2
14,248,2
14,248,2
15,249,2
15,249,2
11,250,2
11,250,2
12,252,3
12,252,3
13,254,3
13,254,3
14,256,3
14,256,3
15,258,3
15,258,3
11,260,3
11,260,3
12,264,3
13,268,3
14,272,3
15,276,3
11,280,3
12,281,3
13,282,3
14,283,3
15,284,3
11,285,3
13,286,3
14,287,3
15,288,3
0,288,0
11,288,0
13,288,0
14,288,0
15,288,0
13,289,1
13,289,1
14,290,1
14,290,1
15,291,1
15,291,1
14,292,2
14,292,2
15,293,2
15,293,2
